Name Space,AsOnSphere,ProjectName,URL,ResourceType
aas,American Antiquarian Society,American Antiquarian Society,http://www.americanantiquarian.org,
amdecj,18thC Journals,Eighteenth Century Journals (Portal),http://www.amdigital.co.uk/m-collections/collection/eighteenth-century-journals-portal/,Adam Matthew
amdeveryday,Everyday Life,Everyday Life of Women in America c. 1800-1929,http://www.amdigital.co.uk/m-collections/collection/everyday-life-and-women-in-america-c1800-1920/,Adam Matthew
amdlitmanberg,Berg Collection,Victorian Manuscripts from the Henry W. and Albert A. Berg Collection of the New York Public Library,http://www.amdigital.co.uk/m-collections/collection/literary-manuscripts-berg/,NYPL
amdVPC,Victorian Popular,Victorian Popular Culture,http://www.amdigital.co.uk/m-collections/collection/victorian-popular-culture/,Press
am_apartheid,Apartheid South Africa,Apartheid South Africa 1948-1980,http://www.archivesdirect.amdigital.co.uk/Apartheid,
bancroft,Bancroft,The Bancroft Library,http://bancroft.berkeley.edu/,Library
beckett,Beckett,Samuel Beckett Digital Manuscript Project,http://www.beckettarchive.org,
bierce,Ambrose Bierce,The Ambrose Bierce Project,http://www.ambrosebierce.org/main.html,Digital Editions- Paratext
BL,British Library,British Library Catalogue of Illuminated Manuscripts,http://www.bl.uk/catalogues/illuminatedmanuscripts/welcome.htm,Library
blake,Blake Archive,"The William Blake Archive (also listed as ""The Blake Archive"")",http://www.blakearchive.org/blake/,Digital Archive
bmtn_bmtnaab,Action,Blue Mountain Project: Action,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaac,La Cite,Blue Mountain Project: La Cité,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaad,La coeur a barbe,Blue Mountain Project: Le coeur à barbe,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaae,Dada,Blue Mountain Project: Dada,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaaf,Elan,Blue Mountain Project: Elan,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaag,Klingen,Blue Mountain Project: Klingen,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaai,Poesia ,Blue Mountain Project: Poesia,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaaj,Surrealisme,Blue Mountain Project: Surréalisme,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaal,Sturm-Buhne,Blue Mountain Project: Sturm-Bühne,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaan,Volne Smery,Blue Mountain Project: Volné Směry,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaao,291,Blue Mountain Project: 291,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaap,Broom,Blue Mountain Project: Broom,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaaq,Bruno's Weekly,Blue Mountain Project: Bruno's Weekly,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaas,Entretiens politiques & litteraires,Blue Mountain Project: Entretiens politiques & littéraires,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaat,The Glebe,Blue Mountain Project: The Glebe,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaau,The Mask,Blue Mountain Project: The Mask,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaav,New Numbers,Blue Mountain Project: New Numbers,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaaw,Nord-Sud,Blue Mountain Project: Nord-Sud,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaay,Secession,Blue Mountain Project: Secession,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaaz,Sic,Blue Mountain Project: Sic,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnaba,The Signature,Blue Mountain Project: The Signature,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabb,Zeit-Echo,Blue Mountain Project: Zeit-Echo,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabc,La Chronique musicale,Blue Mountain Project: La Chronique musicale,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabd,Dalibor,Blue Mountain Project: Dalibor,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabg,Der Sturm,Blue Mountain Project: Der Sturm,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabh,Le Mercure Musical,Blue Mountain Project: Le Mercure Musical,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabi,Niederrheinische Musik-Zeitung,Blue Mountain Project: Niederrheinische Musik-Zeitung,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabj,Revue d'Histoire et de Critique Musicales,Blue Mountain Project: Revue d'Histoire et de Critique Musicales,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabk,Umělecký mĕsíčník,Blue Mountain Project: Umělecký mĕsíčník,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabl,Proverbe,Blue Mountain Project: Proverbe,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabm,Nowa Sztuka,Blue Mountain Project: Nowa Sztuka,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bmtn_bmtnabn,Ultra,Blue Mountain Project: Ultra,http://bluemountain.princeton.edu/exist/apps/bluemountain/index.html,Digital Edition
bnf,Gallica,Gallica (Bibliotèque nationale de France),http://gallica.bnf.fr/,??
bq,Blake: An Illustrated Quarterly,Blake: An Illustrated Quarterly,http://blakequarterly.org/index.php/blake,
